intron_ID,gene,sample_prefix,Ave,SE
I 142254 142601 +,EFB1,RRP6,4.58e-5,1.61e-5
I 142285 142619 +,EFB1,RRP6,6.45e-5,2.6000000000000018e-06
I 142459 142619 +,EFB1,RRP6,8.6471e-5,4.171970247177385e-5
I 150990 151096 -,TFC3,RRP6,0.10812129433333333,0.014254364216715672
I 87388 87450 +,SNC1,RRP6,9.469706666666666e-4,1.1922055657943839e-5
I 87388 87453 +,SNC1,RRP6,9.57064e-4,1.099e-5
II 110220 110505 -,CMC2,RRP6,0.0037207455,9.196254999999999e-4
II 125155 125317 +,SEC17,RRP6,0.0027249505,8.592784999999998e-4
II 125157 125272 +,SEC17,RRP6,9.543705000000001e-4,2.3752450000000003e-4
II 142754 142846 -,ERD2,RRP6,0.003886168,0.0013518341023606906
II 168425 168780 +,RPL19B,RRP6,5.780933333333333e-5,2.2735812142472012e-5
II 168555 168808 +,RPL19B,RRP6,2.49555e-4,1.1126928600621708e-4
II 168601 168808 +,RPL19B,RRP6,0.005269014999999999,0.005216123077844789
II 170621 170804 +,LSM2,RRP6,0.017727156,6.179087710584786e-4
II 170677 170757 +,LSM2,RRP6,0.017996401666666665,0.0013264895974519038
II 170677 170844 +,LSM2,RRP6,0.0015299903333333333,5.663095343721292e-4
II 366508 366584 -,YBR062C,RRP6,0.0083705355,5.580354999999999e-4
II 393181 393507 +,ECM33,RRP6,0.011153167,0.001328574431441837
II 393181 393669 +,ECM33,RRP6,4.887653333333333e-4,5.6253210173089475e-5
II 406769 407122 -,UBC4,RRP6,6.39875e-4,2.3259799999999998e-4
II 407034 407122 -,UBC4,RRP6,7.42702e-4,3.0314215831740287e-4
II 407041 407122 -,UBC4,RRP6,1.405855e-4,4.8265000000000045e-6
II 414756 415261 -,RPL19A,RRP6,2.2628433333333334e-4,7.90991781085268e-5
II 426494 426873 -,YBR089C-A_five_prime_UTR_intron,RRP6,0.008149550666666667,4.1082948903964724e-4
II 426494 426873 -,YBR090C,RRP6,0.008149550666666667,4.1082948903964724e-4
II 426517 426630 -,YBR089C-A_five_prime_UTR_intron,RRP6,0.02451744633333333,6.927253906787144e-4
II 426517 426630 -,YBR090C,RRP6,0.02451744633333333,6.927253906787144e-4
II 45645 45972 +,YBL092W_five_prime_UTR_intron,RRP6,1.6806666666666667e-4,4.6007214862936927e-05
II 45645 45978 +,YBL092W_five_prime_UTR_intron,RRP6,2.39645e-4,3.8183637887625815e-5
II 45647 45979 +,YBL092W_five_prime_UTR_intron,RRP6,4.285e-5,1.3349999999999998e-5
II 462210 462269 +,SUS1,RRP6,0.013486892,0.0023195175233981314
II 462210 462499 +,SUS1,RRP6,0.004146418666666666,9.795081987561808e-4
II 592673 592768 -,RPS6B,RRP6,4.366726666666667e-4,7.103226332058163e-5
II 60150 60697 -,RPL23A,RRP6,1.41128e-4,5.6686458959202375e-5
II 60190 60697 -,RPL23A,RRP6,5.566666666666667e-5,3.1487210807634975e-6
II 604513 604925 +,RPS9B,RRP6,9.935433333333333e-5,1.93373391510943e-5
II 604515 604930 +,RPS9B,RRP6,1.2647866666666666e-4,3.4282295442075896e-5
II 606281 606670 +,RPL21A,RRP6,1.3236433333333332e-4,5.0098331723166636e-5
II 606281 606680 +,RPL21A,RRP6,1.1028399999999999e-4,2.8431872068742383e-5
II 606538 606668 +,RPL21A,RRP6,1.0647050000000001e-4,5.2305000000000035e-6
II 653369 653490 +,HPC2,RRP6,0.0747340425,2.659574999999969e-4
II 726680 727011 -,YBR255C-A,RRP6,0.010354715,0.0010089210000000003
II 726826 727011 -,YBR255C-A,RRP6,0.034133141666666665,0.01174005674931773
II 89147 89440 -,YBL072C_five_prime_UTR_intron,RRP6,2.5295066666666664e-4,2.0107995565722385e-4
III 101606 101700 -,YCL012C,RRP6,0.014989585333333335,0.004840032032012335
III 107034 107287 +,VMA9,RRP6,0.0049468421666666665,7.608066698173904e-4
III 107034 107304 +,VMA9,RRP6,7.868963333333333e-4,1.3368082337210694e-4
III 111580 111633 -,YCL002C,RRP6,0.11408134666666667,0.019037870968643934
III 177906 178212 -,RPS14A,RRP6,8.76835e-5,2.1683499999999993e-5
III 293848 293993 +,HMRA1,RRP6,7.7442e-4,2.1071213801139541e-4
III 293851 293993 +,HMRA1,RRP6,0.03786699733333333,8.935514574767255e-4
III 293851 294007 +,HMRA1,RRP6,0.0014284515,3.6688049999999994e-4
III 293940 294003 +,HMRA1,RRP6,0.0019036493333333333,3.6330904620783175e-4
III 293940 294007 +,HMRA1,RRP6,0.018721709333333333,0.0027833141810944457
III 293940 294021 +,HMRA1,RRP6,0.0020570723333333332,7.647137725328637e-4
III 293940 294024 +,HMRA1,RRP6,8.300075e-4,2.3156350000000004e-4
IV 1103810 1103881 +,MCM21,RRP6,0.0093037215,9.003604999999999e-4
IV 117667 118170 +,RPL35A,RRP6,9.48275e-5,4.37275e-5
IV 117669 118159 +,RPL35A,RRP6,2.9850549999999997e-4,7.835500000000017e-6
IV 122078 122167 +,YDL189W_five_prime_UTR_intron,RRP6,0.02171959533333333,0.005215179577257218
IV 122078 122186 +,YDL189W_five_prime_UTR_intron,RRP6,0.017944287,0.013928223
IV 122078 122194 +,YDL189W_five_prime_UTR_intron,RRP6,0.004144784,1.2872000000000014e-4
IV 1319618 1319816 -,DYN2,RRP6,0.004312711833333333,6.080908833816108e-4
IV 1319627 1319697 -,DYN2,RRP6,0.00203836,2.2237899999999995e-4
IV 1319746 1319816 -,DYN2,RRP6,0.0018779640000000002,6.065080000000001e-4
IV 1319748 1319816 -,DYN2,RRP6,0.007089034,0.002094963147902846
IV 1355232 1355550 -,RPS17B,RRP6,3.4915500000000003e-4,1.07988e-4
IV 1359970 1360373 +,RPS18A,RRP6,3.6775366666666666e-4,1.1029468425742215e-4
IV 1359970 1360405 +,RPS18A,RRP6,2.0016166666666666e-4,2.484415079606823e-5
IV 1359970 1360560 +,RPS18A,RRP6,7.6432e-5,3.4831999999999994e-5
IV 1359972 1360406 +,RPS18A,RRP6,0.0037713169999999997,4.330722859631326e-4
IV 1401792 1402184 +,RPL27B,RRP6,4.518745e-4,1.1256550000000003e-4
IV 1401797 1402184 +,RPL27B,RRP6,5.463789999999999e-4,3.8047226736430267e-05
IV 1401801 1402404 +,RPL27B,RRP6,3.17409e-4,7.884814947099266e-5
IV 1450457 1450845 -,RPL37B,RRP6,1.7145866666666665e-4,6.19291186231844e-5
IV 1450458 1450849 -,RPL37B,RRP6,9.520500000000001e-5,2.7824126670930753e-5
IV 1450459 1450847 -,RPL37B,RRP6,4.115e-5,1.165e-5
IV 1450475 1450846 -,RPL37B,RRP6,2.2557166666666665e-4,3.6751833284582924e-5
IV 216158 216504 +,YDL137W_five_prime_UTR_intron,RRP6,0.004416224666666667,5.157519349339479e-4
IV 216158 216512 +,YDL137W_five_prime_UTR_intron,RRP6,0.002433644,0.001692903
IV 216158 216521 +,YDL137W_five_prime_UTR_intron,RRP6,0.0059765784999999995,0.0018500314999999995
IV 217605 218009 +,RPL35B,RRP6,5.611553333333334e-4,8.004946007382632e-5
IV 217817 218007 +,RPL35B,RRP6,3.8169e-4,1.822921975839888e-4
IV 254943 255044 -,IWR1,RRP6,0.025469694,0.015843041569017998
IV 254956 255044 -,IWR1,RRP6,0.201761132,0.03757318127417805
IV 254975 255148 -,IWR1,RRP6,0.024074659333333335,0.010833183949145337
IV 306806 307765 -,RPS16B,RRP6,1.6800066666666666e-4,8.45535849118442e-5
IV 307364 307765 -,RPS16B,RRP6,4.8566666666666664e-5,1.7153652024504223e-5
IV 322283 322689 +,RPL31A,RRP6,1.575e-5,6.499999999999997e-7
IV 322283 322694 +,RPL31A,RRP6,6.465e-5,1.0850000000000001e-5
IV 322283 322760 +,RPL31A,RRP6,7.607233333333333e-5,3.1919694006121747e-5
IV 337525 337617 +,UBC9,RRP6,0.0020405700000000002,4.367209999999999e-4
IV 337525 337635 +,UBC9,RRP6,0.0023496803333333334,0.0011494248198985345
IV 337525 337894 +,UBC9,RRP6,0.0021220045,2.8376949999999997e-4
