intron_ID,gene,sample_prefix,Ave,SE
I 142254 142601 +,EFB1,RRP6,4.58e-5,1.61e-5
I 142254 142601 +,EFB1,U_R,2.2774566666666668e-4,6.841931982106939e-5
I 142254 142601 +,EFB1,UPF1,2.56183e-4,1.0252681691310491e-4
I 142285 142619 +,EFB1,RRP6,6.45e-5,2.6000000000000018e-06
I 142285 142619 +,EFB1,U_R,1.3248e-4,5.6112608592008976e-5
I 142285 142619 +,EFB1,UPF1,2.2059633333333333e-4,2.4865549878854042e-5
I 142459 142619 +,EFB1,RRP6,8.6471e-5,4.171970247177385e-5
I 142459 142619 +,EFB1,U_R,2.0128233333333335e-4,2.922861523879943e-5
I 142459 142619 +,EFB1,UPF1,1.27956e-4,3.8547569456452115e-5
I 150990 151096 -,TFC3,RRP6,0.10812129433333333,0.014254364216715672
I 150990 151096 -,TFC3,U_R,0.28888058666666666,0.039010738080613526
I 150990 151096 -,TFC3,UPF1,0.38438078666666664,0.027628578958644526
I 87388 87450 +,SNC1,RRP6,9.469706666666666e-4,1.1922055657943839e-5
I 87388 87450 +,SNC1,UPF1,0.001504585,5.235387809245844e-4
I 87388 87453 +,SNC1,RRP6,9.57064e-4,1.099e-5
I 87388 87453 +,SNC1,UPF1,0.004229592,0.0017008719365129562
II 110220 110505 -,CMC2,RRP6,0.0037207455,9.196254999999999e-4
II 110220 110505 -,CMC2,U_R,0.006114862,0.003669874
II 110220 110505 -,CMC2,UPF1,0.004101415666666667,0.0020613891341255243
II 125155 125244 +,SEC17,U_R,0.003875907,0.0010458933117198587
II 125155 125244 +,SEC17,UPF1,0.002910551,3.909512016317809e-4
II 125155 125317 +,SEC17,RRP6,0.0027249505,8.592784999999998e-4
II 125155 125317 +,SEC17,U_R,0.013323841333333334,0.0025056856871125675
II 125155 125317 +,SEC17,UPF1,0.011066454,0.0010523678181711623
II 125157 125272 +,SEC17,RRP6,9.543705000000001e-4,2.3752450000000003e-4
