intron_ID,gene,sample_prefix,Ave,SE
I 142254 142601 +,EFB1,UPF1,2.56183e-4,1.0252681691310491e-4
I 142285 142619 +,EFB1,UPF1,2.2059633333333333e-4,2.4865549878854042e-5
I 142459 142619 +,EFB1,UPF1,1.27956e-4,3.8547569456452115e-5
I 150990 151096 -,TFC3,UPF1,0.38438078666666664,0.027628578958644526
I 87388 87450 +,SNC1,UPF1,0.001504585,5.235387809245844e-4
I 87388 87453 +,SNC1,UPF1,0.004229592,0.0017008719365129562
II 110220 110505 -,CMC2,UPF1,0.004101415666666667,0.0020613891341255243
II 125155 125244 +,SEC17,UPF1,0.002910551,3.909512016317809e-4
II 125155 125317 +,SEC17,UPF1,0.011066454,0.0010523678181711623
II 142728 142846 -,ERD2,UPF1,0.0028420825,9.208525e-4
II 142754 142846 -,ERD2,UPF1,0.06513435233333334,0.010483050836188298
II 168555 168808 +,RPL19B,UPF1,0.001122716,4.4903092647760205e-5
II 168601 168808 +,RPL19B,UPF1,0.0051548593333333335,0.004960241408301694
II 168649 168808 +,RPL19B,UPF1,2.6316766666666666e-4,5.893033275638088e-5
II 170621 170757 +,LSM2,UPF1,0.001155927,2.2059818794133376e-4
II 170621 170804 +,LSM2,UPF1,0.027466060333333334,0.0013532498170800216
II 170677 170757 +,LSM2,UPF1,0.049826489,0.0025384602715981864
II 170677 170844 +,LSM2,UPF1,0.0037509693333333334,7.437121646184394e-4
II 170677 170871 +,LSM2,UPF1,0.002442698,8.832439999999999e-4
II 366508 366584 -,YBR062C,UPF1,0.086399247,0.023764817600868418
II 393181 393507 +,ECM33,UPF1,0.010520485333333334,0.0010945186553906292
II 406708 407122 -,UBC4,UPF1,5.896425e-4,8.763450000000002e-5
II 406769 407122 -,UBC4,UPF1,3.81157e-4,1.0626926226493404e-4
II 407029 407124 -,UBC4,UPF1,1.6334999999999999e-4,5.968999999999996e-6
II 407034 407122 -,UBC4,UPF1,4.973546666666666e-4,1.0249621405907853e-4
II 407041 407122 -,UBC4,UPF1,0.0023951136666666667,8.113325142575297e-4
II 414756 415261 -,RPL19A,UPF1,2.0726150000000001e-4,1.042645e-4
II 426494 426873 -,YBR089C-A_five_prime_UTR_intron,UPF1,0.005107806666666667,4.918669543743625e-4
II 426494 426873 -,YBR090C,UPF1,0.005107806666666667,4.918669543743625e-4
II 426517 426604 -,YBR089C-A_five_prime_UTR_intron,UPF1,0.002241323,2.512686106540166e-5
II 426517 426604 -,YBR090C,UPF1,0.002241323,2.512686106540166e-5
II 426517 426630 -,YBR089C-A_five_prime_UTR_intron,UPF1,0.037259354333333335,7.942998523249133e-4
II 426517 426630 -,YBR090C,UPF1,0.037259354333333335,7.942998523249133e-4
II 45645 45972 +,YBL092W_five_prime_UTR_intron,UPF1,1.5641166666666666e-4,2.718518266956796e-5
II 45645 45978 +,YBL092W_five_prime_UTR_intron,UPF1,3.1162666666666666e-4,8.933122659207395e-6
II 45647 45979 +,YBL092W_five_prime_UTR_intron,UPF1,7.7147e-5,2.8489987872935294e-5
II 462210 462269 +,SUS1,UPF1,0.053647576333333336,0.007672648483846505
II 462210 462499 +,SUS1,UPF1,0.0023901863333333335,5.462955645106817e-4
II 592417 592772 -,RPS6B,UPF1,1.94242e-4,3.6161770877544146e-5
II 592426 592768 -,RPS6B,UPF1,2.4177900000000002e-4,8.191499999999999e-5
II 592673 592768 -,RPS6B,UPF1,6.264025e-4,2.487585e-4
II 60150 60697 -,RPL23A,UPF1,6.969026666666666e-4,6.666150539437619e-5
II 60190 60697 -,RPL23A,UPF1,9.141343333333334e-4,1.8220166097151195e-4
II 60195 60698 -,RPL23A,UPF1,1.1343466666666667e-4,3.9947325322785314e-5
II 60209 60697 -,RPL23A,UPF1,5.16975e-4,9.908438033481025e-5
II 60217 60697 -,RPL23A,UPF1,1.273755e-4,2.60535e-5
II 60333 60697 -,RPL23A,UPF1,1.96227e-4,8.345000000000002e-6
II 604513 604925 +,RPS9B,UPF1,1.059915e-4,6.491499999999997e-6
II 604515 604928 +,RPS9B,UPF1,9.028749999999999e-5,3.40875e-5
II 604515 604930 +,RPS9B,UPF1,1.2187466666666667e-4,4.2468997026589226e-5
II 604515 604937 +,RPS9B,UPF1,1.1014833333333332e-4,4.358162460002814e-5
II 604515 605211 +,RPS9B,UPF1,9.847366666666666e-5,3.63197477521221e-5
II 604519 604927 +,RPS9B,UPF1,1.90833e-4,3.933469869381655e-5
II 604780 604927 +,RPS9B,UPF1,0.0016772103333333333,0.0011002111958514046
II 606281 606633 +,RPL21A,UPF1,4.487925e-4,2.2843149999999998e-4
II 606281 606670 +,RPL21A,UPF1,2.16337e-4,5.562055026696518e-5
II 606281 606680 +,RPL21A,UPF1,7.229366666666666e-5,1.8957408581109157e-5
II 606538 606668 +,RPL21A,UPF1,3.05158e-4,1.546261882735264e-5
II 653369 653490 +,HPC2,UPF1,0.0439212525,0.014218282499999998
II 653369 653558 +,HPC2,UPF1,0.032346723,0.014164904999999998
II 726680 727011 -,YBR255C-A,UPF1,0.006585883666666667,0.001835274730815556
II 726826 727011 -,YBR255C-A,UPF1,0.030724094333333334,0.0037728554916885036
II 89133 89441 -,YBL072C_five_prime_UTR_intron,UPF1,1.150625e-4,8.15625e-5
II 89147 89440 -,YBL072C_five_prime_UTR_intron,UPF1,4.995e-5,1.7150000000000004e-5
III 101606 101700 -,YCL012C,UPF1,0.04611577133333333,0.006276132607146017
III 107034 107287 +,VMA9,UPF1,0.0021381676666666666,2.388711628308821e-4
III 107034 107304 +,VMA9,UPF1,6.05423e-4,1.0733541714240147e-4
III 111580 111633 -,YCL002C,UPF1,0.212613909,0.011992103011584179
III 173093 173198 -,RIM1,UPF1,6.444533333333333e-4,1.9423804195225106e-4
III 177906 178212 -,RPS14A,UPF1,8.52005e-5,2.65005e-5
III 177936 178213 -,RPS14A,UPF1,2.2759e-4,1.1462176567447098e-4
III 293848 293993 +,HMRA1,UPF1,0.002507328,3.3349498330009905e-4
III 293851 293993 +,HMRA1,UPF1,0.070641435,0.006820833768094361
III 293851 294007 +,HMRA1,UPF1,0.0016729296666666668,7.553439277874978e-4
III 293940 294003 +,HMRA1,UPF1,0.004360019333333334,0.0018585431389879308
III 293940 294007 +,HMRA1,UPF1,0.04076784,0.0045727762284704385
III 293940 294021 +,HMRA1,UPF1,0.0035512836666666664,8.995460281616747e-4
